asset_type,level,campaign,ad_group,source_url,evidence_type,text,final_url,description_1,description_2,header,values,status,skip_reason,google_source_url
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,https://www.emorrisonconsulting.com/services/,landing_page,Explore Lay Counselor Aca,https://www.emorrisonconsulting.com/services/,Review Explore Lay Counselor Aca op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,landing_page,Lay Counselor Training Ac,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,Review Lay Counselor Training Ac op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,landing_page,Supporting Employee Menta,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,Review Supporting Employee Menta op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,https://www.emorrisonconsulting.com/about-emc/,landing_page,About Emc,https://www.emorrisonconsulting.com/about-emc/,Review About Emc options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,https://www.emorrisonconsulting.com/blog,landing_page,Blog,https://www.emorrisonconsulting.com/blog,Review Blog options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,https://www.emorrisonconsulting.com/contact,landing_page,Speak To A Specialist,https://www.emorrisonconsulting.com/contact,Review Speak To A Specialist option,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,https://www.emorrisonconsulting.com/services/,landing_page,Explore Employee Mental H,https://www.emorrisonconsulting.com/services/,Review Explore Employee Mental H op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,landing_page,Lay Counselor Training Ac,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,Review Lay Counselor Training Ac op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,landing_page,Supporting Employee Menta,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,Review Supporting Employee Menta op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,https://www.emorrisonconsulting.com/about-emc/,landing_page,About Emc,https://www.emorrisonconsulting.com/about-emc/,Review About Emc options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,https://www.emorrisonconsulting.com/blog,landing_page,Blog,https://www.emorrisonconsulting.com/blog,Review Blog options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,https://www.emorrisonconsulting.com/contact,landing_page,Speak To A Specialist,https://www.emorrisonconsulting.com/contact,Review Speak To A Specialist option,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,https://www.emorrisonconsulting.com/services/,landing_page,Explore Integrated Behavi,https://www.emorrisonconsulting.com/services/,Review Explore Integrated Behavi op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,landing_page,Lay Counselor Training Ac,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,Review Lay Counselor Training Ac op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,landing_page,Supporting Employee Menta,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,Review Supporting Employee Menta op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,https://www.emorrisonconsulting.com/about-emc/,landing_page,About Emc,https://www.emorrisonconsulting.com/about-emc/,Review About Emc options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,https://www.emorrisonconsulting.com/blog,landing_page,Blog,https://www.emorrisonconsulting.com/blog,Review Blog options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,https://www.emorrisonconsulting.com/contact,landing_page,Speak To A Specialist,https://www.emorrisonconsulting.com/contact,Review Speak To A Specialist option,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,https://www.emorrisonconsulting.com/services/,landing_page,Explore Empathic Communic,https://www.emorrisonconsulting.com/services/,Review Explore Empathic Communic op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,landing_page,Lay Counselor Training Ac,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,Review Lay Counselor Training Ac op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,landing_page,Supporting Employee Menta,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,Review Supporting Employee Menta op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,https://www.emorrisonconsulting.com/about-emc/,landing_page,About Emc,https://www.emorrisonconsulting.com/about-emc/,Review About Emc options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,https://www.emorrisonconsulting.com/blog,landing_page,Blog,https://www.emorrisonconsulting.com/blog,Review Blog options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,https://www.emorrisonconsulting.com/contact,landing_page,Speak To A Specialist,https://www.emorrisonconsulting.com/contact,Review Speak To A Specialist option,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,https://www.emorrisonconsulting.com/services/,landing_page,Explore Clinical Support,https://www.emorrisonconsulting.com/services/,Review Explore Clinical Support opt,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,landing_page,Lay Counselor Training Ac,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,Review Lay Counselor Training Ac op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,landing_page,Supporting Employee Menta,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,Review Supporting Employee Menta op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,https://www.emorrisonconsulting.com/about-emc/,landing_page,About Emc,https://www.emorrisonconsulting.com/about-emc/,Review About Emc options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,https://www.emorrisonconsulting.com/blog,landing_page,Blog,https://www.emorrisonconsulting.com/blog,Review Blog options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,https://www.emorrisonconsulting.com/contact,landing_page,Speak To A Specialist,https://www.emorrisonconsulting.com/contact,Review Speak To A Specialist option,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,https://www.emorrisonconsulting.com/services/,landing_page,Explore Trauma-Informed C,https://www.emorrisonconsulting.com/services/,Review Explore Trauma-Informed C op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,landing_page,Lay Counselor Training Ac,https://www.emorrisonconsulting.com/services/lay-counselor-training-academy/,Review Lay Counselor Training Ac op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,landing_page,Supporting Employee Menta,https://www.emorrisonconsulting.com/services/supporting-employee-mental-health/,Review Supporting Employee Menta op,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,https://www.emorrisonconsulting.com/about-emc/,landing_page,About Emc,https://www.emorrisonconsulting.com/about-emc/,Review About Emc options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,https://www.emorrisonconsulting.com/blog,landing_page,Blog,https://www.emorrisonconsulting.com/blog,Review Blog options,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
sitelink,ad_group,ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,https://www.emorrisonconsulting.com/contact,landing_page,Speak To A Specialist,https://www.emorrisonconsulting.com/contact,Review Speak To A Specialist option,Confirm fit before launch,,,Paused,,https://support.google.com/google-ads/answer/2375416?hl=en
callout,campaign,ARC - Search - Mental Health Consulting - V1,,https://www.emorrisonconsulting.com/services/,campaign_value,Review Before Launch,,,,,,Paused,,https://support.google.com/google-ads/answer/6079510?hl=en
callout,campaign,ARC - Search - Mental Health Consulting - V1,,https://www.emorrisonconsulting.com/services/,campaign_value,Google Search Only,,,,,,Paused,,https://support.google.com/google-ads/answer/6079510?hl=en
