campaign,ad_group,asset_type,slot,text,chars
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,1,Lay Counselor Training Help,27
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,2,Plan Lay Counselor Programs,27
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,3,EM Consulting Support Team,26
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,4,Practical Support Planning,26
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,5,Training for Care Teams Now,27
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,6,Support for Better Access,25
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,7,Build Human Centered Care,25
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,8,Clear Implementation Steps,26
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,9,Review Team Support Needs,25
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,10,Improve Care Team Readiness,27
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,11,Plan Your Next Service Step,27
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,12,Consulting for Care Teams,25
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,13,Skills for Support Teams Now,28
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,14,Focused Training Review Today,29
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,headline,15,Request Program Details Now,27
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,description,1,Request details to confirm service fit audience needs timing and budget before launch,85
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,description,2,Schedule today to review training and consulting options with a practical support team,86
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,description,3,Request details on scope stakeholders implementation needs and launch readiness,79
ARC - Search - Mental Health Consulting - V1,Services - Lay Counselor Academy,description,4,Schedule today to compare support options before campaign approval and account import,85
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,1,Employee Wellbeing Planning,27
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,2,Employee Mental Health Plans,28
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,3,EM Consulting Support Team,26
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,4,Practical Support Planning,26
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,5,Training for Care Teams Now,27
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,6,Support for Better Access,25
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,7,Build Human Centered Care,25
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,8,Clear Implementation Steps,26
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,9,Review Team Support Needs,25
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,10,Improve Care Team Readiness,27
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,11,Plan Your Next Service Step,27
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,12,Consulting for Care Teams,25
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,13,Skills for Support Teams Now,28
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,14,Focused Training Review Today,29
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,headline,15,Request Program Details Now,27
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,description,1,Request details to confirm service fit audience needs timing and budget before launch,85
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,description,2,Schedule today to review training and consulting options with a practical support team,86
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,description,3,Request details on scope stakeholders implementation needs and launch readiness,79
ARC - Search - Mental Health Consulting - V1,Services - Employee Mental Health Support,description,4,Schedule today to compare support options before campaign approval and account import,85
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,1,Behavioral Health Consulting,28
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,2,Integrated Care Consulting,26
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,3,EM Consulting Support Team,26
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,4,Practical Support Planning,26
