search_term,decision,recommended_action,campaign,ad_group,suggested_ad_group,clicks,impressions,cost,conversions,reason,client_prompt
child therapist chicago,Focus,Add as paused phrase keyword,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,3.0,14.0,82.57,1.0,Conversion signal plus clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
couples therapy near me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Therapist - Near Me,Couples Therapy - Chicago,2.0,44.0,33.38,1.0,Conversion signal plus clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
therapy close to me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,2.0,27.72,1.0,Conversion signal plus clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
children's behavioral health services near me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,1.0,1.0,9.63,1.0,Conversion signal plus clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
emdr therapy chicago,Focus,Add as paused phrase keyword,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,6.0,112.0,91.15,0.0,Multiple clicks with clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
therapist near me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,5.0,144.0,81.75,0.0,Multiple clicks with clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
therapist for kids near me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,3.0,5.0,48.510000000000005,0.0,Multiple clicks with clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
therapists near me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,2.0,32.0,41.47,0.0,Multiple clicks with clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
therapy near me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,4.0,63.0,33.480000000000004,0.0,Multiple clicks with clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
psychologist near me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,2.0,36.0,22.34,0.0,Multiple clicks with clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
kids psychologist near me,Focus,Add as paused phrase keyword,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,2.0,7.0,20.88,0.0,Multiple clicks with clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
emdr chicago,Focus,Add as paused phrase keyword,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,2.0,34.0,11.21,0.0,Multiple clicks with clear therapy-service intent.,"Reply Focus, Keep, Exclude, or Geo."
i need a therapist right now,Review,"Client to mark Focus, Keep, or Exclude",TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,1.0,42.36,1.0,"Urgent wording converted once, but crisis-intent handling needs human review.","Reply Focus, Keep, Exclude, or Geo."
therapist,Review,Review before adding,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,95.0,40.26,1.0,"Broad head term has signal, but phrase expansion could open too much generic traffic.","Reply Focus, Keep, Exclude, or Geo."
therapist near me covered by insurance,Review,"Client to mark Focus, Keep, or Exclude",TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,1.0,22.29,1.0,"Insurance language converted once, but coverage terms need client confirmation.","Reply Focus, Keep, Exclude, or Geo."
action behavior centers chicago,Review,Review before adding,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,1.0,18.0,73.38,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
psychologist,Review,Review before adding,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,2.0,142.0,23.46,0.0,"Broad head term has signal, but phrase expansion could open too much generic traffic.","Reply Focus, Keep, Exclude, or Geo."
chicago emdr center,Review,Review before adding,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,3.0,19.0,17.47,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
child therapy chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,1.0,6.0,17.45,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
toddler psychologist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,1.0,1.0,14.77,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
in person therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,3.0,13.11,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child psychologist in chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Chicago,Psychology - Chicago,1.0,3.0,10.71,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
therapy for children near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,1.0,8.0,8.78,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child psychologist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,1.0,13.0,8.63,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
best child psychologist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,1.0,6.0,7.04,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
play therapy chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Chicago,Therapy - Chicago,1.0,6.0,6.47,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
family guidance near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Family Therapy - Chicago,1.0,2.0,6.32,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
mental health therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,6.0,6.25,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
