Search terms report
"April 3, 2026 - May 2, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Keyword,Conv. rate,Conversions,Cost / conv.
blossom therapy chicago,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Child Therapy Chicago""",0.00%,0.00,0.00
neuro psychologist near me,Phrase match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapists Near Me""",0.00%,0.00,0.00
therapy for children near me,Exact match (close variant),None,TheraPPC - Regional,Child Therapy - Near Me,1,3,33.33%,USD,8.78,8.78,[Child Therapists Near Me],0.00%,0.00,0.00
psychologist for children,Exact match (close variant),None,TheraPPC - Regional,Child Therapy - Near Me,0,1,0.00%,USD,0,0.00,[Child Therapists Near Me],0.00%,0.00,0.00
local psychiatrist,Phrase match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapists Near Me""",0.00%,0.00,0.00
cst academy chicago,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Childrens Therapy Chicago""",0.00%,0.00,0.00
polski psycholog near me,Phrase match,None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Psychologist Near Me""",0.00%,0.00,0.00
edmr near me,Exact match (close variant),None,TheraPPC - Regional,EMDR Therapy - Near Me,0,1,0.00%,USD,0,0.00,[EMDR Therapy Near Me],0.00%,0.00,0.00
advance therapy near me,Phrase match,None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapists Near Me""",0.00%,0.00,0.00
children therapy,Exact match (close variant),None,TheraPPC - Regional,Child Therapy - Near Me,0,1,0.00%,USD,0,0.00,[Child Therapy Near Me],0.00%,0.00,0.00
geriatric psychologist near me,Phrase match,None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Psychologist Near Me""",0.00%,0.00,0.00
emdr therapy near me near me,Exact match (close variant),None,TheraPPC - Regional,EMDR Therapy - Near Me,0,1,0.00%,USD,0,0.00,[EMDR Therapy Near Me],0.00%,0.00,0.00
emdr therapists chicago,Exact match,Added,TheraPPC - Regional,EMDR Therapy - Chicago,0,4,0.00%,USD,0,0.00,[EMDR Therapists Chicago],0.00%,0.00,0.00
certified addiction counselor near me,Phrase match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapists Near Me""",0.00%,0.00,0.00
stride autism center chicago,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Children Therapy Chicago""",0.00%,0.00,0.00
polish therapist near me,Phrase match,None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapists Near Me""",0.00%,0.00,0.00
in person therapy near me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,1,3,33.33%,USD,13.11,13.11,[Therapists Near Me],0.00%,0.00,0.00
play therapy chicago,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,1,3,33.33%,USD,6.47,6.47,"""Childrens Therapy Chicago""",0.00%,0.00,0.00
children's counselor,Exact match (close variant),None,TheraPPC - Regional,Child Therapy - Near Me,0,2,0.00%,USD,0,0.00,[Childrens Therapist Near Me],0.00%,0.00,0.00
pediatric neuro psychologist near me,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Near Me,0,1,0.00%,USD,0,0.00,"""psychology for kids near me""",0.00%,0.00,0.00
psychological assessment near me,Phrase match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapist Near Me""",0.00%,0.00,0.00
emdr therapy chicago,Exact match (close variant),Added,TheraPPC - Regional,EMDR Therapy - Chicago,0,2,0.00%,USD,0,0.00,[EMDR Chicago],0.00%,0.00,0.00
therapy providers of near me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,[Therapists Near Me],0.00%,0.00,0.00
eyas landing avondale,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Child Therapist Chicago""",0.00%,0.00,0.00
psych doctors near me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,2,0.00%,USD,0,0.00,[Psychologist Near Me],0.00%,0.00,0.00
light on anxiety near me,Phrase match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapists Near Me""",0.00%,0.00,0.00
psychology therapists,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Psychologist Near Me""",0.00%,0.00,0.00
therapy for autistic child near me,Phrase match,None,TheraPPC - Regional,Child Therapy - Near Me,0,2,0.00%,USD,0,0.00,"""Child Therapy Near Me""",0.00%,0.00,0.00
emdr chicago,Phrase match (close variant),Added,TheraPPC - Regional,EMDR Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""EMDR Therapy Chicago""",0.00%,0.00,0.00
psych evaluation near me,Phrase match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,3,0.00%,USD,0,0.00,"""Psychologist Near Me""",0.00%,0.00,0.00
therapy near me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,2,26,7.69%,USD,9.26,18.51,[Therapists Near Me],0.00%,0.00,0.00
emdr therapist,Exact match (close variant),None,TheraPPC - Regional,EMDR Therapy - Near Me,0,4,0.00%,USD,0,0.00,[EMDR Therapy Near Me],0.00%,0.00,0.00
therapist office near me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,[Therapists Near Me],0.00%,0.00,0.00
therapy for kids chicago,Exact match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Children Therapy Chicago""",0.00%,0.00,0.00
tuesdays child chicago,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Child Therapist Chicago""",0.00%,0.00,0.00
smart love chicago,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Child Therapist Chicago""",0.00%,0.00,0.00
mental help therapist near me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,[Therapists Near Me],0.00%,0.00,0.00
action behavior centers chicago,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Child Therapy Chicago""",0.00%,0.00,0.00
child psychotherapist,Exact match (close variant),None,TheraPPC - Regional,Child Therapy - Near Me,0,2,0.00%,USD,0,0.00,[Childrens Therapist Near Me],0.00%,0.00,0.00
kids psychologist,Exact match (close variant),None,TheraPPC - Regional,Child Therapy - Near Me,0,3,0.00%,USD,0,0.00,[Child Therapists Near Me],0.00%,0.00,0.00
therapy close to me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,[Therapists Near Me],0.00%,0.00,0.00
city kids chicago,Phrase match (close variant),None,TheraPPC - Regional,Child Therapy - Chicago,0,1,0.00%,USD,0,0.00,"""Childrens Therapy Chicago""",0.00%,0.00,0.00
emdr therapy near me,Phrase match,None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapist Near Me""",0.00%,0.00,0.00
mental health practices near me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,1,1,100.00%,USD,10.48,10.48,[Therapists Near Me],0.00%,0.00,0.00
therapy near me mental health near me,Exact match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,[Therapists Near Me],0.00%,0.00,0.00
kids therapist,Exact match (close variant),None,TheraPPC - Regional,Child Therapy - Near Me,0,1,0.00%,USD,0,0.00,[Child Therapy Near Me],0.00%,0.00,0.00
psychological near me,Phrase match (close variant),None,TheraPPC - Regional,Therapist - Near Me,0,1,0.00%,USD,0,0.00,"""Therapist Near Me""",0.00%,0.00,0.00
