﻿Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Target CPA	Start Date	End Date	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	Google Merchant Center feed	Merchant Identifier	Country of Sale	Feed label	Campaign Priority	Local Inventory Ads	Shopping ads on excluded brands	Inventory filter	Audience targeting	Flexible Reach	Text customization	Final URL expansion	Image enhancement	Image generation	Landing page images	Video enhancement	Brand guidelines	Brand business name	Brand font	Custom parameters	Asset Group	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Long headline 1	Long headline 2	Long headline 3	Long headline 4	Long headline 5	Description 1	Description 2	Description 3	Description 4	Description 5	Call to action	Business name	Video ID 1	Video ID 2	Video ID 3	Video ID 4	Video ID 5	Path 1	Path 2	Final URL	Final mobile URL	Audience signal	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Ad Group	ID	Location	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	Search theme	Incremental	Link Text	Description Line 1	Description Line 2	Upgraded extension	Source	Link source	Tracking template	Final URL suffix	Header	Snippet Values	Callout text	Campaign Status	Ad Group Status	Asset Group Status	Status	Approval Status	Ad strength	Comment
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"	National - Executive Core	Executive Resume Writing	C-Suite Resume Writing Service	Leadership Resume Writing	VP Resume Writing Service	Director Resume Writing	Senior Management Resume	Executive Career Coaching	Professional Resume Writing	Career Advancement Resume	Job Search Resume Service	Executive Job Search Help	C-Suite Career Advancement	Leadership Career Services	Executive Resume Optimization	Professional Career Coaching	Executive Resume Writing Service for C-Suite Professionals	C-Suite Resume Writing Service Career Advancement Help	Leadership Resume Writing Service Executive Career Coaching	VP Resume Writing Service Senior Management Career Help	Director Resume Writing Service Professional Career Services	Executive resume writing service for C-suite professionals career advancement	C-suite resume specialists leadership career coaching executive services	Professional resume writing senior management career development help	Executive career coaching VP director resume writing services national	Leadership resume writing career advancement job search assistance																																														Enabled		Enabled		Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Executive Resume Service	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						C-Suite Resume Writing	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Leadership Career Coaching	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						VP Resume Services	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Director Resume Help	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Senior Management Resume	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Executive Career Services	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Professional Resume Writing	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Executive Resume Writing Service						search_theme							Enabled			Enabled	Approved	Excellent	
