Location report
"April 26, 2026 - May 2, 2026"
Location,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
"Ontario, Canada",Search - Skytherapies,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Newfoundland and Labrador, Canada",Search - Skytherapies,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Ontario, Canada",EMDR therapy for teens,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Ontario, Canada",Call - Performance,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Newfoundland and Labrador, Canada",Call - Performance,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Mississauga, Ontario, Canada",ARC - Regional - Search,4,0,0.00%,CAD,0,0.00,0.00%,0.00,0.00
"Brampton, Ontario, Canada",ARC - Regional - Search,3,0,0.00%,CAD,0,0.00,0.00%,0.00,0.00
"Markham, Ontario, Canada",ARC - Regional - Search,2,0,0.00%,CAD,0,0.00,0.00%,0.00,0.00
"Richmond Hill, Ontario, Canada",ARC - Regional - Search,5,0,0.00%,CAD,0,0.00,0.00%,0.00,0.00
"20.0|mi|(43.761538,-79.411079)",ARC - Regional - Search,1,0,0.00%,CAD,0,0.00,0.00%,0.00,0.00
"Vaughan, Ontario, Canada",ARC - Regional - Search,3,0,0.00%,CAD,0,0.00,0.00%,0.00,0.00
"Toronto, Ontario, Canada",ARC - Regional - Search,90,7,7.78%,CAD,13.67,95.67,0.00%,0.00,0.00
"Toronto, Ontario, Canada",ARC - Search - Services,"1,413",93,6.58%,CAD,5.24,486.89,2.15%,2.00,243.45
"Vaughan, Ontario, Canada",ARC - Search - Services,105,2,1.90%,CAD,2.64,5.28,0.00%,0.00,0.00
"Mississauga, Ontario, Canada",ARC - Search - Services,176,6,3.41%,CAD,1.71,10.26,0.00%,0.00,0.00
"20.0|mi|North York, ON",ARC - Search - Services,106,5,4.72%,CAD,5.06,25.32,0.00%,0.00,0.00
"Richmond Hill, Ontario, Canada",ARC - Search - Services,61,2,3.28%,CAD,2.75,5.50,0.00%,0.00,0.00
"Markham, Ontario, Canada",ARC - Search - Services,98,7,7.14%,CAD,5.84,40.87,14.29%,1.00,40.87
"Brampton, Ontario, Canada",ARC - Search - Services,162,2,1.23%,CAD,5.56,11.11,0.00%,0.00,0.00
"Vaughan, Ontario, Canada",MF - Search - 15 Feb 2026,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Toronto, Ontario, Canada",MF - Search - 15 Feb 2026,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Richmond Hill, Ontario, Canada",MF - Search - 15 Feb 2026,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Markham, Ontario, Canada",MF - Search - 15 Feb 2026,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Brampton, Ontario, Canada",MF - Search - 15 Feb 2026,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Mississauga, Ontario, Canada",MF - Search - 15 Feb 2026,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"20.0|mi|North York, ON",MF - Search - 15 Feb 2026,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
"Ontario, Canada",Psychotherapy for chronic pain,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Total: Locations,,"2,229",124,5.56%,CAD,5.49,680.90,2.42%,3.00,226.97
Total: Other locations,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Total: Account,,"2,229",124,5.56%,CAD,5.49,680.90,2.42%,3.00,226.97
Total: Performance Max,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Total: Smart,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Total: Search,,"2,229",124,5.56%,CAD,5.49,680.90,2.42%,3.00,226.97
