Search terms report
"April 26, 2026 - May 2, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Currency code,Cost,Impr.,CTR,Avg. CPC,Conv. rate,Conversions,Cost / conv.
doctor for ibs treatment,Phrase match,None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma therapy for men,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
trauma informed doctors near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Informed Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dbr,Exact match (close variant),None,ARC - Search - Services,Therapy - DBR,"""Deep brain reorienting Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
probiotic for irritable bowel syndrome,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs treatment,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,9,0.00%,0,0.00%,0.00,0.00
ibs latest treatment,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""Irritable Bowel Syndrome Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
treatment of ibs,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain physio,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
emdr for childhood sexual abuse,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
power over pain ca,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr vs dbr,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
best natural treatment for ibs,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""IBS natural treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy for cptsd""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
christian emdr therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr trauma therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma based yoga near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Healing Therapy""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
nerva reviews,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""hypnosis for ibs""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
top rated emdr therapy,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
211 toronto mental health,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",1,CAD,2.01,5,20.00%,2.01,0.00%,0.00,0.00
ibs dietician,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut health counseling""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
