campaign,ad_group,asset_type,slot,text,chars
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,1,NYC Anxiety Therapy Online,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,2,NJ Anxiety Therapy Online,25
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,3,Anxiety Therapy For Adults,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,4,Mindful Anxiety Counseling,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,5,CBT And Mindfulness Support,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,6,Therapy For Young Adults NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,7,Practical Anxiety Skills NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,8,Online Therapy In NY And NJ,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,9,Support For Overthinking Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,10,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,11,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,12,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,13,Anxiety Care With CBT Skills,28
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,14,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,15,Private Online Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,description,1,Online anxiety therapy for young adults in New York and New Jersey.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,description,2,"Build practical skills with CBT, DBT, ACT, and mindfulness-informed care.",73
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,description,3,Start with a consultation call and confirm whether the practice is a fit.,73
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,1,Individual Therapy Online,25
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,2,Therapy For Young Adults NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,3,NYC Young Adult Therapy Care,28
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,4,Online Therapy In NY And NJ,27
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,5,Mindful Therapy Support NY,26
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,6,CBT Skills For Daily Life,25
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,7,Support For Life Transitions,28
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,8,Private Online Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,9,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,10,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,11,Therapy For Overthinking Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,12,Build Practical Coping Skills,29
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,13,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,14,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,15,Goal Oriented Therapy Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,description,1,Online individual therapy for young adults navigating anxiety and related concerns.,83
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,description,2,"Sessions focus on practical skills, mindfulness, and collaborative support.",75
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,description,3,Care is available for people living in New York or New Jersey.,62
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,1,Online Group Therapy NYC Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,2,Skills Based Group Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,3,Social Anxiety Group Care,25
