Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Currency code,Cost,Impr.,CTR,Avg. CPC,Conv. rate,Conversions,Cost / conv.
epic danville va,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatric services""",2,USD,16.64,2,100.00%,8.32,100.00%,2.00,8.32
child behavioral therapist,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",4,USD,27.34,33,12.12%,6.84,50.00%,2.00,13.67
adult psych evaluation near me,Phrase match,None,Psychiatry - RevKey,Psychiatry,"""psychiatry near me""",1,USD,14.83,1,100.00%,14.83,100.00%,1.00,14.83
anxiety doctors near me,Phrase match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",3,USD,23.62,35,8.57%,7.87,133.33%,4.00,5.90
adhd assessment for kids near me,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",2,USD,15.10,8,25.00%,7.55,50.00%,1.00,15.10
physiatrists near me,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatry near me""",5,USD,36.83,60,8.33%,7.37,20.00%,1.00,36.83
child psychiatry,Exact match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,[children's psychiatrist],2,USD,14.78,177,1.13%,7.39,50.00%,1.00,14.78
adhd kids assessment near me,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",3,USD,15.90,5,60.00%,5.30,66.67%,2.00,7.95
adhd coach,Phrase match (close variant),None,Psychiatry - RevKey,ADHD Treatment,"""ADHD treatment""",36,USD,258.56,461,7.81%,7.18,1.39%,0.50,517.12
pmhnps near me,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatry near me""",3,USD,20.83,10,30.00%,6.94,66.67%,2.00,10.41
7032897560,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""mental health care services""",1,USD,14.61,1,100.00%,14.61,200.00%,2.00,7.31
children adhd testing near me,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",1,USD,3.51,7,14.29%,3.51,100.00%,1.00,3.51
think happy live healthy ashburn,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""mental health care services""",1,USD,14.21,1,100.00%,14.21,100.00%,1.00,14.21
uva child and family psychiatry,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",3,USD,22.10,188,1.60%,7.37,33.33%,1.00,22.10
belgrade counseling clinic,Phrase match (close variant),Excluded,Psychiatry - RevKey,Psychiatry,"""psychiatric therapy""",2,USD,16.78,1,200.00%,8.39,100.00%,2.00,8.39
child and adult psychiatry towson,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",5,USD,45.37,109,4.59%,9.07,20.00%,1.00,45.37
child psychologist fredericksburg va,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",4,USD,24.40,28,14.29%,6.10,25.00%,1.00,24.40
anxiety treatments,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatric therapy""",1,USD,14.22,1,100.00%,14.22,100.00%,1.00,14.22
adhd therapist near me,Phrase match (close variant),None,Psychiatry - RevKey,ADHD Treatment,"""ADHD treatment""",22,USD,142.46,275,8.00%,6.48,9.09%,2.00,71.23
