Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Currency code,Cost,Impr.,CTR,Avg. CPC,Conv. rate,Conversions,Cost / conv.
zviadi aburjania,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",3,USD,18.91,29,10.34%,6.30,0.00%,0.00,0.00
adhd testing for children,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",2,USD,12.77,33,6.06%,6.39,0.00%,0.00,0.00
stop a panic attack,Phrase match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",0,USD,0.00,18,0.00%,0,0.00%,0.00,0.00
children's psychological testing near me,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",0,USD,0.00,17,0.00%,0,0.00%,0.00,0.00
psychiatric clinic,Exact match (close variant),None,Psychiatry - RevKey,Psychiatry,[psychiatric services],2,USD,14.31,17,11.76%,7.16,0.00%,0.00,0.00
psychiatric care near me,Exact match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatry near me""",1,USD,5.15,31,3.23%,5.15,0.00%,0.00,0.00
psychiatric evaluation near me,Exact match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatry near me""",1,USD,9.70,68,1.47%,9.70,0.00%,0.00,0.00
pressure points for anxiety,Phrase match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",0,USD,0.00,12,0.00%,0,0.00%,0.00,0.00
fort belvoir behavioral health,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatric services""",0,USD,0.00,12,0.00%,0,0.00%,0.00,0.00
severna park child psychology,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",0,USD,0.00,12,0.00%,0,0.00%,0.00,0.00
mental therapist,Exact match (close variant),None,Psychiatry - RevKey,Psychiatry,[Psychiatric Therapy],3,USD,36.34,20,15.00%,12.11,0.00%,0.00,0.00
psychological testing for kids near me,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",0,USD,0.00,12,0.00%,0,0.00%,0.00,0.00
mental health therapist near me,Exact match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatry near me""",13,USD,94.92,262,4.96%,7.30,0.00%,0.00,0.00
stress and anxiety reduction,Phrase match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",0,USD,0.00,20,0.00%,0,0.00%,0.00,0.00
uva child and family psychiatry,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",3,USD,22.10,188,1.60%,7.37,33.33%,1.00,22.10
anxiety support groups,Phrase match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",1,USD,8.21,26,3.85%,8.21,0.00%,0.00,0.00
child and adult psychiatry towson,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",5,USD,45.37,109,4.59%,9.07,20.00%,1.00,45.37
dealing with anxiety attacks,Phrase match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",1,USD,8.09,15,6.67%,8.09,0.00%,0.00,0.00
stop anxiety,Exact match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",1,USD,6.20,19,5.26%,6.20,0.00%,0.00,0.00
cure for depression,Exact match (close variant),None,Psychiatry - RevKey,Depression Treatment,"""depression treatment""",1,USD,8.44,24,4.17%,8.44,0.00%,0.00,0.00
sheppard pratt near me,Phrase match (close variant),Excluded,Psychiatry - RevKey,Psychiatry,"""psychiatry near me""",7,USD,54.91,78,8.97%,7.84,0.00%,0.00,0.00
psych evaluation near me,Phrase match,None,Psychiatry - RevKey,Psychiatry,"""psychiatry near me""",4,USD,26.28,83,4.82%,6.57,0.00%,0.00,0.00
brightlife kids,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",0,USD,0.00,35,0.00%,0,0.00%,0.00,0.00
mdd treatment,Exact match (close variant),None,Psychiatry - RevKey,Depression Treatment,"""depression treatment""",0,USD,0.00,14,0.00%,0,0.00%,0.00,0.00
adhd evaluation for kids,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",0,USD,0.00,18,0.00%,0,0.00%,0.00,0.00
dmdd treatment,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",0,USD,0.00,21,0.00%,0,0.00%,0.00,0.00
rtms treatment,Phrase match (close variant),None,Psychiatry - RevKey,Depression Treatment,"""depression treatment""",1,USD,7.14,14,7.14%,7.14,0.00%,0.00,0.00
adhd screening for kids,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",4,USD,28.93,50,8.00%,7.23,0.00%,0.00,0.00
ocd assessment for kids,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",0,USD,0.00,16,0.00%,0,0.00%,0.00,0.00
treatment goals for depression,Phrase match,None,Psychiatry - RevKey,Depression Treatment,"""depression treatment""",2,USD,11.51,15,13.33%,5.76,0.00%,0.00,0.00
quillivant,Phrase match (close variant),None,Psychiatry - RevKey,ADHD Treatment,"""ADHD treatment""",3,USD,22.79,72,4.17%,7.60,0.00%,0.00,0.00
treatment of depression,Exact match (close variant),None,Psychiatry - RevKey,Depression Treatment,"""depression treatment""",3,USD,20.86,18,16.67%,6.95,0.00%,0.00,0.00
child psychologist ashburn va,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",1,USD,9.68,33,3.03%,9.68,0.00%,0.00,0.00
doneadhd,Phrase match (close variant),None,Psychiatry - RevKey,ADHD Treatment,"""ADHD treatment""",1,USD,5.00,36,2.78%,5.00,0.00%,0.00,0.00
pmhnp near me,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatric nurse""",3,USD,18.33,11,27.27%,6.11,0.00%,0.00,0.00
breath work for anxiety,Phrase match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",0,USD,0.00,46,0.00%,0,0.00%,0.00,0.00
anxiety medication,Phrase match (close variant),None,Psychiatry - RevKey,Psychiatry,"""psychiatric treatment""",0,USD,0.00,15,0.00%,0,0.00%,0.00,0.00
deal with anxiety,Exact match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",1,USD,5.09,12,8.33%,5.09,0.00%,0.00,0.00
stop panic attack,Phrase match (close variant),None,Psychiatry - RevKey,Anxiety Treatment,"""anxiety treatment""",1,USD,7.51,21,4.76%,7.51,0.00%,0.00,0.00
depression care plan,Phrase match (close variant),None,Psychiatry - RevKey,Depression Treatment,"""depression treatment""",0,USD,0.00,14,0.00%,0,0.00%,0.00,0.00
child adhd evaluation near me,Phrase match (close variant),None,Psychiatry - RevKey,Children's Psychiatry,"""children's psychiatric services""",1,USD,5.92,19,5.26%,5.92,0.00%,0.00,0.00
