Campaign,Ad Group,Status,Campaign Type,Sub Type,Networks,Search Partners,Display Network,Targeting,Ad Schedule,Budget,Labels,Campaign Bid Strategy Type,Ad Group Bid Strategy Type,Ad Group Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC,EU Political Content,Keywords,Criterion Type,Final URL,Geographic Targeting,City Targeting,ZIP Code Targeting,Regional Targeting,Service Category,Priority Level,Conversion Actions,Ad Group Labels
wrights_broward_search,,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,,,,,Disabled,Disabled,,,,,,,,,,,
wrights_broward_search,fort_lauderdale_windows_search,Disabled,,,,,,,,,,,Target CPA,Target CPA - Windows,45.00,,Disabled,,,,,"Fort Lauderdale, FL","Fort Lauderdale, FL",,"Broward County, FL",Windows,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Windows|High
wrights_broward_search,fort_lauderdale_windows_search,Enabled,,,,,,,,,,,,,,,,,impact windows fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL",,"Broward County, FL",,,,
wrights_broward_search,fort_lauderdale_doors_search,Disabled,,,,,,,,,,,Maximize Conversions,Maximize Conversions - Doors,,3.00,Disabled,,,,,"Fort Lauderdale, FL","Fort Lauderdale, FL",,"Broward County, FL",Doors,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Doors|High
wrights_broward_search,fort_lauderdale_doors_search,Enabled,,,,,,,,,,,,,,,,,impact doors fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL",,"Broward County, FL",,,,
wrights_broward_search,fort_lauderdale_hurricane_search,Disabled,,,,,,,,,,,Maximize Conversions,Maximize Conversions - Hurricane,,3.00,Disabled,,,,,"Fort Lauderdale, FL","Fort Lauderdale, FL",,"Broward County, FL",Hurricane,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Hurricane|High
wrights_broward_search,fort_lauderdale_hurricane_search,Enabled,,,,,,,,,,,,,,,,,impact hurricane fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL",,"Broward County, FL",,,,
wrights_broward_search,pompano_beach_windows_search,Disabled,,,,,,,,,,,Target CPA,Target CPA - Windows,45.00,,Disabled,,,,,"Pompano Beach, FL","Pompano Beach, FL",,"Broward County, FL",Windows,High,Website Quotes + Phone Calls,Broward|Pompano Beach|Windows|High
wrights_broward_search,pompano_beach_windows_search,Enabled,,,,,,,,,,,,,,,,,impact windows pompano beach near me,Exact,https://wrightsimpact.com/contact,"Pompano Beach, FL","Pompano Beach, FL",,"Broward County, FL",,,,
wrights_broward_search,pompano_beach_doors_search,Disabled,,,,,,,,,,,Maximize Conversions,Maximize Conversions - Doors,,3.00,Disabled,,,,,"Pompano Beach, FL","Pompano Beach, FL",,"Broward County, FL",Doors,High,Website Quotes + Phone Calls,Broward|Pompano Beach|Doors|High
wrights_broward_search,pompano_beach_doors_search,Enabled,,,,,,,,,,,,,,,,,impact doors pompano beach near me,Exact,https://wrightsimpact.com/contact,"Pompano Beach, FL","Pompano Beach, FL",,"Broward County, FL",,,,
wrights_broward_search,pompano_beach_hurricane_search,Disabled,,,,,,,,,,,Maximize Conversions,Maximize Conversions - Hurricane,,3.00,Disabled,,,,,"Pompano Beach, FL","Pompano Beach, FL",,"Broward County, FL",Hurricane,High,Website Quotes + Phone Calls,Broward|Pompano Beach|Hurricane|High
wrights_broward_search,pompano_beach_hurricane_search,Enabled,,,,,,,,,,,,,,,,,impact hurricane pompano beach near me,Exact,https://wrightsimpact.com/contact,"Pompano Beach, FL","Pompano Beach, FL",,"Broward County, FL",,,,
wrights_broward_search,hollywood_windows_search,Disabled,,,,,,,,,,,Target CPA,Target CPA - Windows,45.00,,Disabled,,,,,"Hollywood, FL","Hollywood, FL",,"Broward County, FL",Windows,High,Website Quotes + Phone Calls,Broward|Hollywood|Windows|High
wrights_broward_search,hollywood_windows_search,Enabled,,,,,,,,,,,,,,,,,impact windows hollywood near me,Exact,https://wrightsimpact.com/contact,"Hollywood, FL","Hollywood, FL",,"Broward County, FL",,,,
wrights_broward_search,hollywood_doors_search,Disabled,,,,,,,,,,,Maximize Conversions,Maximize Conversions - Doors,,3.00,Disabled,,,,,"Hollywood, FL","Hollywood, FL",,"Broward County, FL",Doors,High,Website Quotes + Phone Calls,Broward|Hollywood|Doors|High
wrights_broward_search,hollywood_doors_search,Enabled,,,,,,,,,,,,,,,,,impact doors hollywood near me,Exact,https://wrightsimpact.com/contact,"Hollywood, FL","Hollywood, FL",,"Broward County, FL",,,,
wrights_broward_search,hollywood_hurricane_search,Disabled,,,,,,,,,,,Maximize Conversions,Maximize Conversions - Hurricane,,3.00,Disabled,,,,,"Hollywood, FL","Hollywood, FL",,"Broward County, FL",Hurricane,High,Website Quotes + Phone Calls,Broward|Hollywood|Hurricane|High
wrights_broward_search,hollywood_hurricane_search,Enabled,,,,,,,,,,,,,,,,,impact hurricane hollywood near me,Exact,https://wrightsimpact.com/contact,"Hollywood, FL","Hollywood, FL",,"Broward County, FL",,,,
