Account,Campaign,Location Name,Location Type,Is Negative,Bid Modifier,Priority Level,Service Focus
Wright's Impact Window and Door,Broward ZIP Targeting,33301, FL,ZIP,FALSE,0.3,High,Fort Lauderdale Downtown
Wright's Impact Window and Door,Broward ZIP Targeting,33304, FL,ZIP,FALSE,0.2,High,Fort Lauderdale Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33305, FL,ZIP,FALSE,0.2,High,Fort Lauderdale Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33306, FL,ZIP,FALSE,0.2,High,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33307, FL,ZIP,FALSE,0.15,High,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33308, FL,ZIP,FALSE,0.15,High,Fort Lauderdale Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33309, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33310, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33311, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale/Lauderhill
Wright's Impact Window and Door,Broward ZIP Targeting,33312, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33313, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale/Lauderhill
Wright's Impact Window and Door,Broward ZIP Targeting,33314, FL,ZIP,FALSE,0.1,Medium,Davie/Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33315, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33316, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33317, FL,ZIP,FALSE,0.05,Medium,Plantation/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33318, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33319, FL,ZIP,FALSE,0.05,Medium,Lauderhill/Tamarac
Wright's Impact Window and Door,Broward ZIP Targeting,33320, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33321, FL,ZIP,FALSE,0.05,Medium,Tamarac/Lauderhill
Wright's Impact Window and Door,Broward ZIP Targeting,33322, FL,ZIP,FALSE,0.05,Medium,Sunrise/Plantation
Wright's Impact Window and Door,Broward ZIP Targeting,33323, FL,ZIP,FALSE,0.05,Medium,Plantation/Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33324, FL,ZIP,FALSE,0.05,Medium,Plantation/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33325, FL,ZIP,FALSE,0.05,Medium,Davie/Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33326, FL,ZIP,FALSE,0.05,Medium,Davie/Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33327, FL,ZIP,FALSE,0.05,Medium,Weston/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33328, FL,ZIP,FALSE,0.05,Medium,Davie/Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33329, FL,ZIP,FALSE,0.05,Medium,Miramar/Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33330, FL,ZIP,FALSE,0.05,Medium,Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33331, FL,ZIP,FALSE,0.05,Medium,Weston/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33332, FL,ZIP,FALSE,0.05,Medium,Weston/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33333, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33334, FL,ZIP,FALSE,0.05,Medium,Oakland Park
Wright's Impact Window and Door,Broward ZIP Targeting,33335, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33336, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33337, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33338, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33339, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
