Campaign,Asset Group,Status,Type,Targeting,Keywords,Geographic Targeting,Networks,Bid Strategy Type,Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC
wrights_broward_fort_lauderdale_search,windows_ftl_search,Disabled,Search,Service + Local,impact windows fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Target CPA,,45.0,,
wrights_broward_fort_lauderdale_search,doors_ftl_search,Disabled,Search,Service + Local,impact doors fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Maximize Conversions,,,,
wrights_broward_fort_lauderdale_search,hurricane_ftl_search,Disabled,Search,Service + Local,hurricane protection fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_fort_lauderdale_search,energy_ftl_search,Disabled,Search,Service + Local,energy efficiency fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Maximize Conversions,,,,
wrights_broward_fort_lauderdale_search,commercial_ftl_search,Disabled,Search,Service + Local,commercial solutions fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_pompano_beach_search,windows_pb_search,Disabled,Search,Service + Local,impact windows pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Target CPA,,45.0,,
wrights_broward_pompano_beach_search,doors_pb_search,Disabled,Search,Service + Local,impact doors pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Maximize Conversions,,,,
wrights_broward_pompano_beach_search,hurricane_pb_search,Disabled,Search,Service + Local,hurricane protection pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_pompano_beach_search,energy_pb_search,Disabled,Search,Service + Local,energy efficiency pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Maximize Conversions,,,,
wrights_broward_pompano_beach_search,commercial_pb_search,Disabled,Search,Service + Local,commercial solutions pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Manual CPC,,,3.00,Disabled
