Campaign,Asset Group,Status,Type,Targeting,Keywords,Geographic Targeting,Networks,Bid Strategy Type,Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC
wrights_lee_county_search,impact_windows_fort_myers_search,Enabled,Search,Service + Local,impact windows fort myers near me,"Fort Myers, FL - ZIP codes: 33901, 33902, 33903, 33905, 33906...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,impact_doors_fort_myers_search,Enabled,Search,Service + Local,impact doors fort myers near me,"Fort Myers, FL - ZIP codes: 33901, 33902, 33903, 33905, 33906...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,hurricane_protection_fort_myers_search,Enabled,Search,Service + Local,hurricane protection fort myers near me,"Fort Myers, FL - ZIP codes: 33901, 33902, 33903, 33905, 33906...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,energy_efficiency_fort_myers_search,Enabled,Search,Service + Local,energy efficiency fort myers near me,"Fort Myers, FL - ZIP codes: 33901, 33902, 33903, 33905, 33906...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,commercial_solutions_fort_myers_search,Enabled,Search,Service + Local,commercial solutions fort myers near me,"Fort Myers, FL - ZIP codes: 33901, 33902, 33903, 33905, 33906...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,impact_windows_cape_coral_search,Enabled,Search,Service + Local,impact windows cape coral near me,"Cape Coral, FL - ZIP codes: 33904, 33909, 33914, 33915, 33921...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,impact_doors_cape_coral_search,Enabled,Search,Service + Local,impact doors cape coral near me,"Cape Coral, FL - ZIP codes: 33904, 33909, 33914, 33915, 33921...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,hurricane_protection_cape_coral_search,Enabled,Search,Service + Local,hurricane protection cape coral near me,"Cape Coral, FL - ZIP codes: 33904, 33909, 33914, 33915, 33921...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,energy_efficiency_cape_coral_search,Enabled,Search,Service + Local,energy efficiency cape coral near me,"Cape Coral, FL - ZIP codes: 33904, 33909, 33914, 33915, 33921...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,commercial_solutions_cape_coral_search,Enabled,Search,Service + Local,commercial solutions cape coral near me,"Cape Coral, FL - ZIP codes: 33904, 33909, 33914, 33915, 33921...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,impact_windows_naples_search,Enabled,Search,Service + Local,impact windows naples near me,"Naples, FL - ZIP codes: 34101, 34102, 34103, 34104, 34105...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,impact_doors_naples_search,Enabled,Search,Service + Local,impact doors naples near me,"Naples, FL - ZIP codes: 34101, 34102, 34103, 34104, 34105...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,hurricane_protection_naples_search,Enabled,Search,Service + Local,hurricane protection naples near me,"Naples, FL - ZIP codes: 34101, 34102, 34103, 34104, 34105...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,energy_efficiency_naples_search,Enabled,Search,Service + Local,energy efficiency naples near me,"Naples, FL - ZIP codes: 34101, 34102, 34103, 34104, 34105...",Search only,Manual CPC,,,$1.00,Disabled
wrights_lee_county_search,commercial_solutions_naples_search,Enabled,Search,Service + Local,commercial solutions naples near me,"Naples, FL - ZIP codes: 34101, 34102, 34103, 34104, 34105...",Search only,Manual CPC,,,$1.00,Disabled
wrights_broward_county_search,impact_windows_fort_lauderdale_search,Enabled,Search,Service + Local,impact windows fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305...",Search only,Manual CPC,,,$1.00,Disabled
wrights_broward_county_search,impact_doors_fort_lauderdale_search,Enabled,Search,Service + Local,impact doors fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305...",Search only,Manual CPC,,,$1.00,Disabled
wrights_broward_county_search,hurricane_protection_fort_lauderdale_search,Enabled,Search,Service + Local,hurricane protection fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305...",Search only,Manual CPC,,,$1.00,Disabled
wrights_broward_county_search,energy_efficiency_fort_lauderdale_search,Enabled,Search,Service + Local,energy efficiency fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305...",Search only,Manual CPC,,,$1.00,Disabled
wrights_broward_county_search,commercial_solutions_fort_lauderdale_search,Enabled,Search,Service + Local,commercial solutions fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305...",Search only,Manual CPC,,,$1.00,Disabled
