Asset groups report
"December 8, 2025 - January 6, 2026"
Asset group status,Asset Group,Campaign,Headlines,Long Headlines,Descriptions,Marketing Images,Square Marketing Images,Portrait Marketing Images,Ad Strength,Status,Clicks,Currency code,Cost,Conversions,Cost / conv.,Conv. rate,Impr.,CTR,Interactions,Interaction rate,Engagements,Engagement rate,Avg. CPC,Avg. CPE,Avg. cost,Avg. CPM,Conv. value,Conv. value / cost,Conv. value / click,Value / conv.,Value adjustment,New customer lifetime value,Win-back customer lifetime value,All conv.,Cost / all conv.,All conv. rate,All conv. value,All conv. value / cost,All conv. value / click,Value / all conv.,All value adjustment,Campaign ID,Audience signal,Search themes,Asset group ID,Final URL,Mobile final URL,Policy details,Path 1,Path 2,Business name
PAUSED,asset group4,campaign 2,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23102163743, --, --,6627977958,[https://wrightsimpactwindowanddoor.com/],[],[],veterans,month, --
ENABLED,Windows,2TON - Broward - Performance Max,"Storm-Resistant Impact Windows, Windows That Withstand Storms, Energy-Efficient Windows, Impact Windows You Can Trust, Top-Rated Impact Windows, Protect Your Home, Enhance Your Home's Value, Keep Your Home Safe, Home Protection with Style, Upgrade Your Home’s Windows, Get A Free Estimate, More Natural Light, Proudly Serving Broward County, Make The Wright Choice, Protecting Broward FL Homes","Protect Your Home With Impact Windows That Offer Unbeatable Security, Enhance Your Home’s Value With Modern, Durable, and Stylish Impact Windows, Protect Your Home With Impact Windows That Withstand Florida’s Toughest Storms, Upgrade to Energy-Efficient Impact Windows and Reduce Your Energy Bills Year-Round, Trust Wright’s for Impact Windows That Deliver Safety, Energy Savings, and Modern Design","Upgrade to Strong, Stylish, Energy-Saving Impact Windows, Impact windows offer safety, energy savings, and peace of mind for your home. Learn more., Upgrade your home with impact windows—where modern design meets unbeatable security., Need impact windows in Broward County? Wright's has you covered., Broward homeowners, protect your property with hurricane-ready impact windows now.","https://tpc.googlesyndication.com/simgad/10485636430936138732, https://tpc.googlesyndication.com/simgad/5545618771285705609, https://tpc.googlesyndication.com/simgad/15134989544760802152, https://tpc.googlesyndication.com/simgad/14127270033374991284, https://tpc.googlesyndication.com/simgad/3544921520278084118, https://tpc.googlesyndication.com/simgad/17734147420419153261, https://tpc.googlesyndication.com/simgad/16093924520579968488","https://tpc.googlesyndication.com/simgad/5677762308937905461, https://tpc.googlesyndication.com/simgad/13084335335950862029, https://tpc.googlesyndication.com/simgad/7185925545597359200, https://tpc.googlesyndication.com/simgad/4550530773935492566, https://tpc.googlesyndication.com/simgad/7614380197446495361, https://tpc.googlesyndication.com/simgad/6990856691898291164, https://tpc.googlesyndication.com/simgad/15327472810458420379","https://tpc.googlesyndication.com/simgad/12921248141330429484, https://tpc.googlesyndication.com/simgad/14584560127700701390, https://tpc.googlesyndication.com/simgad/3772993985714451623, https://tpc.googlesyndication.com/simgad/6377379488052349170, https://tpc.googlesyndication.com/simgad/3579343102023402318, https://tpc.googlesyndication.com/simgad/12105973971741480535",Good,Not eligible,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,21183944156,Impact Windows Audience Signal,"hurricane impact windows, hurricane windows, Impact windows",6496460926,[https://wrightsimpactwindowanddoor.com/free-estimate/],[],[],products,windows,Wright's Impact Windows
PAUSED,asset group3,campaign 2,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23102163743, --, --,6627887651,[https://wrightsimpactwindowanddoor.com/],[],[],black friday,special, --
PAUSED,asset group1,campaign 2,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23102163743,In Market And Life Event Audiences, --,6617478734,[https://wrightsimpactwindowanddoor.com/],[],[],home,protection, --
PAUSED,asset group2,campaign 2,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23102163743, --, --,6618417212,[https://wrightsimpactwindowanddoor.com/],[],[],october,special, --
PAUSED,asset group5,campaign 2,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,809,USD,857.33,6.00,142.89,0.73%,"37,100",2.18%,824,2.22%,15,30.00%,1.06,0.03,1.04,23.11,"2,400.00",2.80,2.91,400.00,0.00,0.00,0.00,991.58,0.86,120.34%,"3,381.08",3.94,4.10,3.41,0.00,23102163743,In Market And Life Event Audiences, --,6640521328,[https://wrightsimpactwindowanddoor.com/],[],[],holiday,specials, --
PAUSED,asset group5,campaign 5,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,918,USD,1531.51,17.00,90.09,1.61%,"36,016",2.55%,"1,055",2.93%,141,59.75%,1.67,0.04,1.45,42.52,"6,800.00",4.44,6.45,400.00,0.00,0.00,0.00,"1,125.99",1.36,106.73%,"7,880.49",5.15,7.47,7.00,0.00,23106445678,In Market And Life Event Audiences, --,6640489914,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
PAUSED,asset group2,campaign 5,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23106445678, --, --,6618559303,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
PAUSED,asset group3,campaign 5,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23106445678, --, --,6633703010,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
PAUSED,asset group4,campaign 5,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23106445678, --, --,6633824605,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
