Campaign,Asset Group,Keywords,Theme Type,Geographic Focus
wrights_lee_county_pmax,impact_windows_regional,"impact windows, hurricane windows, storm windows, energy efficient windows, impact glass windows",Service + Regional,Lee County County
wrights_lee_county_pmax,impact_doors_regional,"impact doors, hurricane doors, storm doors, impact entry doors, security doors",Service + Regional,Lee County County
wrights_lee_county_pmax,hurricane_protection_regional,"hurricane protection, storm protection, hurricane shutters, impact protection, storm defense",Service + Regional,Lee County County
wrights_lee_county_pmax,energy_efficiency_regional,"energy efficient windows, energy savings, utility bill reduction, energy efficient doors, green building",Service + Regional,Lee County County
wrights_lee_county_pmax,commercial_solutions_regional,"commercial impact windows, commercial hurricane protection, condo impact windows, commercial doors, building protection",Service + Regional,Lee County County
wrights_broward_county_pmax,impact_windows_regional,"impact windows, hurricane windows, storm windows, energy efficient windows, impact glass windows",Service + Regional,"Broward County, FL - Complete ZIP coverage: 33301-33349, 33004, 33008-33009, 33019-33029, 33060-33077, 33082-33084"
wrights_broward_county_pmax,impact_doors_regional,"impact doors, hurricane doors, storm doors, impact entry doors, security doors",Service + Regional,"Broward County, FL - Complete ZIP coverage: 33301-33349, 33004, 33008-33009, 33019-33029, 33060-33077, 33082-33084"
wrights_broward_county_pmax,hurricane_protection_regional,"hurricane protection, storm protection, hurricane shutters, impact protection, storm defense",Service + Regional,"Broward County, FL - Complete ZIP coverage: 33301-33349, 33004, 33008-33009, 33019-33029, 33060-33077, 33082-33084"
wrights_broward_county_pmax,energy_efficiency_regional,"energy efficient windows, energy savings, utility bill reduction, energy efficient doors, green building",Service + Regional,"Broward County, FL - Complete ZIP coverage: 33301-33349, 33004, 33008-33009, 33019-33029, 33060-33077, 33082-33084"
wrights_broward_county_pmax,commercial_solutions_regional,"commercial impact windows, commercial hurricane protection, condo impact windows, commercial doors, building protection",Service + Regional,"Broward County, FL - Complete ZIP coverage: 33301-33349, 33004, 33008-33009, 33019-33029, 33060-33077, 33082-33084"
wrights_lee_county_pmax,fort_myers_near_me,"impact windows fort myers near me, hurricane windows fort myers near me, impact doors fort myers near me, storm protection fort myers near me, energy efficient windows fort myers near me",Local - City Specific,"Fort Myers, Lee County County"
wrights_lee_county_pmax,cape_coral_near_me,"impact windows cape coral near me, hurricane windows cape coral near me, impact doors cape coral near me, storm protection cape coral near me, energy efficient windows cape coral near me",Local - City Specific,"Cape Coral, Lee County County"
wrights_lee_county_pmax,naples_near_me,"impact windows naples near me, hurricane windows naples near me, impact doors naples near me, storm protection naples near me, energy efficient windows naples near me",Local - City Specific,"Naples, Lee County County"
wrights_broward_county_pmax,fort_lauderdale_near_me,"impact windows fort lauderdale near me, hurricane windows fort lauderdale near me, impact doors fort lauderdale near me, storm protection fort lauderdale near me, energy efficient windows fort lauderdale near me",Local - City Specific,"Fort Lauderdale, Broward County County"
wrights_broward_county_pmax,pompano_beach_near_me,"impact windows pompano beach near me, hurricane windows pompano beach near me, impact doors pompano beach near me, storm protection pompano beach near me, energy efficient windows pompano beach near me",Local - City Specific,"Pompano Beach, Broward County County"
wrights_broward_county_pmax,hollywood_near_me,"impact windows hollywood near me, hurricane windows hollywood near me, impact doors hollywood near me, storm protection hollywood near me, energy efficient windows hollywood near me",Local - City Specific,"Hollywood, Broward County County"
