Campaign,Ad Group,Keyword,Criterion Type,Status,Max CPC,Final URL,Final mobile URL,Tracking template,Custom parameters
TPPC - Regional - Medspas,Medspas - Local,local pedicures near me,Exact,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,massages and facials near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,medspa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,beauty spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,head spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,health spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,massages near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,reflexology near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,float spa therapy near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,health and wellness spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,indian style facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,spa days near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,affordable facials near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,day spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,float spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,scalp spas near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,resort spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,spas,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,sauna near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,scalp head spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,local med spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,med spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,medical spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,moxi facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,medspa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,kybella treatment near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,xerf treatment near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,spa resort near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,wellness and beauty near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,a spa day near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,pure esthetics near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,endo lift near me,Phrase,Enabled,,,,,
TPPC - Brand,Brand - CollabMedSpa,collab medspa scottsdale,Exact,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,facial scottsdale az,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,facials scottsdale az,Exact,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,beauty facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,best aesthetician near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,best affordable facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,facial care near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,facials near me open now,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,lymphatic drainage facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,acne facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,facial services near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,affordable facials near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,teen facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,where to get a facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,aesthetician near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,eye brow lamination near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,same day facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,best facials near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,best med spa for fillers near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,best facial near me open now,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,facial near me open now,Phrase,Enabled,,,,,
