Campaign,Ad Group,Keyword,Criterion Type,Status,Max CPC,Final URL,Final mobile URL,Tracking template,Custom parameters
TPPC - Regional - Medspas,Medspas - Local,local pedicures near me,Exact,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,massages and facials near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,medspa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,beauty spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,head spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,health spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,massages near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,reflexology near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,float spa therapy near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,health and wellness spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,indian style facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,spa days near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,affordable facials near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,day spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,float spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,scalp spas near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,resort spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,spas,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,sauna near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,scalp head spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,w hotel spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,local med spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,med spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,medical spa near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,moxi facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,medspa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,pico laser near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,kybella treatment near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,laseraway near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,q switched nd yag laser near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,xerf treatment near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,spa resort near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,wellness and beauty near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,a spa day near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,pure esthetics near me,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Local,endo lift near me,Phrase,Enabled,,,,,
TPPC - Brand,Brand - CollabMedSpa,collab medspa scottsdale,Exact,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,groupon facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,facial scottsdale az,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,facials scottsdale az,Exact,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,beauty facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,best aesthetician near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,best affordable facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,facial care near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,facials near me open now,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,lymphatic drainage facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,acne facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,facial services near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,affordable facials near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,groupon microneedling near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,teen facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,where to get a facial near me,Phrase,Enabled,,,,,
