﻿Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Target CPA	Start Date	End Date	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	Google Merchant Center feed	Merchant Identifier	Country of Sale	Feed label	Campaign Priority	Local Inventory Ads	Shopping ads on excluded brands	Inventory filter	Audience targeting	Flexible Reach	Text customization	Final URL expansion	Image enhancement	Image generation	Landing page images	Video enhancement	Brand guidelines	Brand business name	Brand font	Custom parameters	Asset Group	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Long headline 1	Long headline 2	Long headline 3	Long headline 4	Long headline 5	Description 1	Description 2	Description 3	Description 4	Description 5	Call to action	Business name	Video ID 1	Video ID 2	Video ID 3	Video ID 4	Video ID 5	Path 1	Path 2	Final URL	Final mobile URL	Audience signal	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Ad Group	ID	Location	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	Search theme	Incremental	Link Text	Description Line 1	Description Line 2	Upgraded extension	Source	Link source	Tracking template	Final URL suffix	Header	Snippet Values	Callout text	Campaign Status	Ad Group Status	Asset Group Status	Status	Approval Status	Ad strength	Comment
EvoRestore Emergency Services PMAX		Performance Max	Google search;Search Partners	150.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																																											Enabled				Approved	Excellent	
EvoRestore Emergency Services PMAX		Performance Max	Google search;Search Partners	150.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Scottsdale, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Emergency Services PMAX		Performance Max	Google search;Search Partners	150.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Phoenix, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Emergency Services PMAX		Performance Max	Google search;Search Partners	150.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Mesa, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Emergency Services PMAX		Performance Max	Google search;Search Partners	150.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Chandler, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Emergency Services PMAX		Performance Max	Google search;Search Partners	150.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Tucson, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Water Damage Restoration PMAX		Performance Max	Google search;Search Partners	120.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																																											Enabled				Approved	Excellent	
EvoRestore Water Damage Restoration PMAX		Performance Max	Google search;Search Partners	120.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Scottsdale, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Water Damage Restoration PMAX		Performance Max	Google search;Search Partners	120.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Phoenix, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Water Damage Restoration PMAX		Performance Max	Google search;Search Partners	120.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Mesa, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Water Damage Restoration PMAX		Performance Max	Google search;Search Partners	120.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Chandler, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Water Damage Restoration PMAX		Performance Max	Google search;Search Partners	120.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Tucson, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Fire Damage Restoration PMAX		Performance Max	Google search;Search Partners	100.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																																											Enabled				Approved	Excellent	
EvoRestore Fire Damage Restoration PMAX		Performance Max	Google search;Search Partners	100.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Scottsdale, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
EvoRestore Fire Damage Restoration PMAX		Performance Max	Google search;Search Partners	100.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions		40.00			(Monday[00:00-23:59]);(Tuesday[00:00-23:59]);(Wednesday[00:00-23:59]);(Thursday[00:00-23:59]);(Friday[00:00-23:59]);(Saturday[00:00-23:59]);(Sunday[00:00-23:59])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled																																																					Phoenix, AZ			25	miles																		Enabled			Enabled	Approved	Excellent	
