Campaign,Ad Group,Status,Campaign Type,Sub Type,Networks,Search Partners,Display Network,Targeting,Ad Schedule,Budget,Labels,Campaign Bid Strategy Type,Ad Group Bid Strategy Type,Ad Group Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC,EU Political Content,Keywords,Criterion Type,Final URL,Geographic Targeting,City Targeting,ZIP Code Targeting,Regional Targeting,Service Category,Priority Level,Conversion Actions,Ad Group Labels
wrights_broward_search,,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,,,,,Disabled,Disabled,,,,,,,,,,,
wrights_broward_search,fort_lauderdale_windows_search,Disabled,,,,,,,,,,,Target CPA,Target CPA - Impact Windows,45.00,,Disabled,,,,,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Impact Windows,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Impact Windows|High
wrights_broward_search,fort_lauderdale_windows_search,Enabled,,,,,,,,,,,,,,,,,impact windows fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",,,,
wrights_broward_search,fort_lauderdale_doors_search,Disabled,,,,,,,,,,,Maximize Conversions,Maximize Conversions - Impact Doors,,,Disabled,,,,,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Impact Doors,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Impact Doors|High
wrights_broward_search,fort_lauderdale_doors_search,Enabled,,,,,,,,,,,,,,,,,impact doors fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",,,,
wrights_broward_search,fort_lauderdale_hurricane_search,Disabled,,,,,,,,,,,Manual CPC,Manual CPC - Hurricane Protection,3.00,3.00,Disabled,,,,,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Hurricane Protection,Medium,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Hurricane Protection|Medium
wrights_broward_search,fort_lauderdale_hurricane_search,Enabled,,,,,,,,,,,,,,,,,impact hurricane fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",,,,
wrights_broward_search,fort_lauderdale_energy_search,Disabled,,,,,,,,,,,Maximize Conversions,Maximize Conversions - Energy Efficiency,,,Disabled,,,,,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Energy Efficiency,Medium,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Energy Efficiency|Medium
wrights_broward_search,fort_lauderdale_energy_search,Enabled,,,,,,,,,,,,,,,,,impact energy fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",,,,
wrights_broward_search,fort_lauderdale_commercial_search,Disabled,,,,,,,,,,,Manual CPC,Manual CPC - Commercial Solutions,3.00,3.00,Disabled,,,,,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Commercial Solutions,Low,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Commercial Solutions|Low
