Campaign,Asset Group,Status,Type,Targeting,Keywords,Geographic Targeting,Networks,Bid Strategy Type,Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC
wrights_broward_county_search,fort_lauderdale_windows_search,Disabled,Search,Service + Local,impact windows fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Target CPA,,45.00,,
wrights_broward_county_search,fort_lauderdale_doors_search,Disabled,Search,Service + Local,impact doors fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_county_search,fort_lauderdale_hurricane_search,Disabled,Search,Service + Local,hurricane protection fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Manual CPC,,,3.25,Disabled
wrights_broward_county_search,fort_lauderdale_energy_search,Disabled,Search,Service + Local,energy efficiency fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Target CPA,,35.00,,
wrights_broward_county_search,fort_lauderdale_commercial_search,Disabled,Search,Service + Local,commercial solutions fort lauderdale near me,"Fort Lauderdale, FL - ZIP codes: 33301, 33302, 33303, 33304, 33305, 33306, 33307, 33308, 33309, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33319, 33320, 33321, 33322, 33323, 33324, 33325, 33326, 33327, 33328, 33330, 33331, 33332, 33334, 33351",Search only,Manual CPC,,,3.50,Disabled
wrights_broward_county_search,pompano_beach_windows_search,Disabled,Search,Service + Local,impact windows pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Target CPA,,42.00,,
wrights_broward_county_search,pompano_beach_doors_search,Disabled,Search,Service + Local,impact doors pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Manual CPC,,,2.75,Disabled
wrights_broward_county_search,pompano_beach_hurricane_search,Disabled,Search,Service + Local,hurricane protection pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_county_search,pompano_beach_energy_search,Disabled,Search,Service + Local,energy efficiency pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Target CPA,,32.00,,
wrights_broward_county_search,pompano_beach_commercial_search,Disabled,Search,Service + Local,commercial solutions pompano beach near me,"Pompano Beach, FL - ZIP codes: 33060, 33061, 33062, 33063, 33064, 33065, 33066, 33067, 33068, 33069, 33071, 33073, 33074, 33076, 33077",Search only,Manual CPC,,,3.25,Disabled
wrights_broward_county_search,hollywood_windows_search,Disabled,Search,Service + Local,impact windows hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Target CPA,,42.00,,
wrights_broward_county_search,hollywood_doors_search,Disabled,Search,Service + Local,impact doors hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Manual CPC,,,2.75,Disabled
wrights_broward_county_search,hollywood_hurricane_search,Disabled,Search,Service + Local,hurricane protection hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_county_search,hollywood_energy_search,Disabled,Search,Service + Local,energy efficiency hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Target CPA,,32.00,,
wrights_broward_county_search,hollywood_commercial_search,Disabled,Search,Service + Local,commercial solutions hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Manual CPC,,,3.25,Disabled
wrights_broward_county_search,coral_springs_windows_search,Disabled,Search,Service + Local,impact windows coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Target CPA,,40.00,,
wrights_broward_county_search,coral_springs_doors_search,Disabled,Search,Service + Local,impact doors coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Manual CPC,,,2.50,Disabled
wrights_broward_county_search,coral_springs_hurricane_search,Disabled,Search,Service + Local,hurricane protection coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Manual CPC,,,2.75,Disabled
