Campaign,Ad Group,Status,Campaign Type,Sub Type,Networks,Targeting,Ad Schedule,Budget,Labels,Campaign Bid Strategy Type,Ad Group Bid Strategy Type,Ad Group Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC,Keyword,Criterion Type,Final URL,Geographic Targeting,City Targeting,ZIP Code Targeting,Service Category,Priority Level,Conversion Actions,Ad Group Labels
wrights_broward_search,,Disabled,Search,Standard,Search,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,,,,,Disabled,,,,,,,,,,
wrights_broward_search,fort_lauderdale_windows_search,Enabled,,,,,,,,,Target CPA,Target CPA - Impact Windows,45.00,,Disabled,impact windows fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351",Impact Windows,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Impact Windows|High
wrights_broward_search,fort_lauderdale_doors_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Impact Doors,,,Disabled,impact doors fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351",Impact Doors,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Impact Doors|High
wrights_broward_search,fort_lauderdale_hurricane_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Hurricane Protection,3.00,3.00,Disabled,hurricane protection fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351",Hurricane Protection,Medium,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Hurricane Protection|Medium
wrights_broward_search,fort_lauderdale_energy_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Energy Efficiency,,,Disabled,energy efficiency fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351",Energy Efficiency,Medium,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Energy Efficiency|Medium
wrights_broward_search,fort_lauderdale_commercial_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Commercial Solutions,3.00,3.00,Disabled,commercial solutions fort lauderdale near me,Exact,https://wrightsimpact.com/contact,"Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351",Commercial Solutions,Low,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Commercial Solutions|Low
wrights_broward_search,pompano_beach_windows_search,Enabled,,,,,,,,,Target CPA,Target CPA - Impact Windows,45.00,,Disabled,impact windows pompano beach near me,Exact,https://wrightsimpact.com/contact,"Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077",Impact Windows,High,Website Quotes + Phone Calls,Broward|Pompano Beach|Impact Windows|High
wrights_broward_search,pompano_beach_doors_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Impact Doors,,,Disabled,impact doors pompano beach near me,Exact,https://wrightsimpact.com/contact,"Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077",Impact Doors,High,Website Quotes + Phone Calls,Broward|Pompano Beach|Impact Doors|High
wrights_broward_search,pompano_beach_hurricane_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Hurricane Protection,3.00,3.00,Disabled,hurricane protection pompano beach near me,Exact,https://wrightsimpact.com/contact,"Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077",Hurricane Protection,Medium,Website Quotes + Phone Calls,Broward|Pompano Beach|Hurricane Protection|Medium
wrights_broward_search,pompano_beach_energy_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Energy Efficiency,,,Disabled,energy efficiency pompano beach near me,Exact,https://wrightsimpact.com/contact,"Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077",Energy Efficiency,Medium,Website Quotes + Phone Calls,Broward|Pompano Beach|Energy Efficiency|Medium
wrights_broward_search,pompano_beach_commercial_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Commercial Solutions,3.00,3.00,Disabled,commercial solutions pompano beach near me,Exact,https://wrightsimpact.com/contact,"Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077",Commercial Solutions,Low,Website Quotes + Phone Calls,Broward|Pompano Beach|Commercial Solutions|Low
wrights_broward_search,hollywood_windows_search,Enabled,,,,,,,,,Target CPA,Target CPA - Impact Windows,45.00,,Disabled,impact windows hollywood near me,Exact,https://wrightsimpact.com/contact,"Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084",Impact Windows,High,Website Quotes + Phone Calls,Broward|Hollywood|Impact Windows|High
wrights_broward_search,hollywood_doors_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Impact Doors,,,Disabled,impact doors hollywood near me,Exact,https://wrightsimpact.com/contact,"Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084",Impact Doors,High,Website Quotes + Phone Calls,Broward|Hollywood|Impact Doors|High
wrights_broward_search,hollywood_hurricane_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Hurricane Protection,3.00,3.00,Disabled,hurricane protection hollywood near me,Exact,https://wrightsimpact.com/contact,"Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084",Hurricane Protection,Medium,Website Quotes + Phone Calls,Broward|Hollywood|Hurricane Protection|Medium
wrights_broward_search,hollywood_energy_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Energy Efficiency,,,Disabled,energy efficiency hollywood near me,Exact,https://wrightsimpact.com/contact,"Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084",Energy Efficiency,Medium,Website Quotes + Phone Calls,Broward|Hollywood|Energy Efficiency|Medium
wrights_broward_search,hollywood_commercial_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Commercial Solutions,3.00,3.00,Disabled,commercial solutions hollywood near me,Exact,https://wrightsimpact.com/contact,"Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084",Commercial Solutions,Low,Website Quotes + Phone Calls,Broward|Hollywood|Commercial Solutions|Low
wrights_broward_search,coral_springs_windows_search,Enabled,,,,,,,,,Target CPA,Target CPA - Impact Windows,45.00,,Disabled,impact windows coral springs near me,Exact,https://wrightsimpact.com/contact,"Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077",Impact Windows,High,Website Quotes + Phone Calls,Broward|Coral Springs|Impact Windows|High
wrights_broward_search,coral_springs_doors_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Impact Doors,,,Disabled,impact doors coral springs near me,Exact,https://wrightsimpact.com/contact,"Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077",Impact Doors,High,Website Quotes + Phone Calls,Broward|Coral Springs|Impact Doors|High
wrights_broward_search,coral_springs_hurricane_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Hurricane Protection,3.00,3.00,Disabled,hurricane protection coral springs near me,Exact,https://wrightsimpact.com/contact,"Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077",Hurricane Protection,Medium,Website Quotes + Phone Calls,Broward|Coral Springs|Hurricane Protection|Medium
wrights_broward_search,coral_springs_energy_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Energy Efficiency,,,Disabled,energy efficiency coral springs near me,Exact,https://wrightsimpact.com/contact,"Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077",Energy Efficiency,Medium,Website Quotes + Phone Calls,Broward|Coral Springs|Energy Efficiency|Medium
wrights_broward_search,coral_springs_commercial_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Commercial Solutions,3.00,3.00,Disabled,commercial solutions coral springs near me,Exact,https://wrightsimpact.com/contact,"Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077",Commercial Solutions,Low,Website Quotes + Phone Calls,Broward|Coral Springs|Commercial Solutions|Low
wrights_broward_search,pembroke_pines_windows_search,Enabled,,,,,,,,,Target CPA,Target CPA - Impact Windows,45.00,,Disabled,impact windows pembroke pines near me,Exact,https://wrightsimpact.com/contact,"Pembroke Pines, FL","Pembroke Pines, FL","33023,33024,33025,33026,33027,33028,33029,33082,33084",Impact Windows,High,Website Quotes + Phone Calls,Broward|Pembroke Pines|Impact Windows|High
wrights_broward_search,pembroke_pines_doors_search,Enabled,,,,,,,,,Maximize Conversions,Maximize Conversions - Impact Doors,,,Disabled,impact doors pembroke pines near me,Exact,https://wrightsimpact.com/contact,"Pembroke Pines, FL","Pembroke Pines, FL","33023,33024,33025,33026,33027,33028,33029,33082,33084",Impact Doors,High,Website Quotes + Phone Calls,Broward|Pembroke Pines|Impact Doors|High
wrights_broward_search,pembroke_pines_hurricane_search,Enabled,,,,,,,,,Manual CPC,Manual CPC - Hurricane Protection,3.00,3.00,Disabled,hurricane protection pembroke pines near me,Exact,https://wrightsimpact.com/contact,"Pembroke Pines, FL","Pembroke Pines, FL","33023,33024,33025,33026,33027,33028,33029,33082,33084",Hurricane Protection,Medium,Website Quotes + Phone Calls,Broward|Pembroke Pines|Hurricane Protection|Medium
