Ad asset report
"December 8, 2025 - January 6, 2026"
Conversion action,Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,CTR,Avg. CPC,Conversions,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost,Conv. value / click,Value / conv.,All conv.,Cost / all conv.,All conv. rate,All conv. value,All conv. value / cost,All conv. value / click,Value / all conv.,All conv. (by conv. time),All conv. value (by conv. time),Value / all conv. (by conv. time),Campaign ID,Ad group ID,Item ID,Policy details,Ad group,Campaign,Phone calls,Phone impr.,PTR
Wright's - GA4 (web) ctm_phone_call,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Campaign,Eligible,,Advertiser,"Nov 1, 2024, 4:33 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21788913744,0,180901411326,, --,2TON - Palm Beach - Search - Door,0,0,0
CHEQ for PPC - Invalid Users,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Campaign,Eligible,,Advertiser,"Nov 1, 2024, 4:33 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21788913744,0,180901411326,, --,2TON - Palm Beach - Search - Door,0,0,0
MCFX - SQL,Paused,"About Wright's
Learn About South Florida's Premier
Hurricane Window & Door Company.
https://wrightsimpactwindowanddoor.com/about-us/?_location=cc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688091730,0,23811751297,, --,County: Collier - Window,0,0,0
Local actions - Directions,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Campaign,Eligible,,Advertiser,"Nov 1, 2024, 4:33 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21803482035,0,180901411326,, --,2TON - West Coast - Search - Doors,0,0,0
Local actions - Website visits,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Campaign,Eligible,,Advertiser,"Nov 1, 2024, 4:33 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21803482035,0,180901411326,, --,2TON - West Coast - Search - Doors,0,0,0
Wright's - GA4 (web) request_estimate,Paused,"Impact Patio Doors
https://wrightsimpactwindowanddoor.com/impact-doors/patio-doors/?_location=sc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688092057,0,83240921535,, --,County: Sarasota - Door,0,0,0
Calls From Ads,Paused,"Impact Patio Doors
https://wrightsimpactwindowanddoor.com/impact-doors/patio-doors/?_location=sc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688092057,0,83240921535,, --,County: Sarasota - Door,0,0,0
Wright's - GA4 (web) estimate_form,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Logo,Campaign,Eligible,,Advertiser,"Oct 9, 2025, 1:57 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,529.76,0, --,529.76,0,0,1.00,575.25,575.25,1.00,23102163743,0,180901411326,, --,campaign 2,0,0,0
Local actions - Directions,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Campaign,Eligible,,Advertiser,"Jan 23, 2025, 4:52 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,22158869891,0,180901411326,, --,2TON - Palm Beach - Search - Window,0,0,0
Calls From Ads,Paused,"Custom Windows
https://wrightsimpactwindowanddoor.com/impact-windows/custom-windows/?_location=bc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1585701519,0,83242279569,, --,County: Broward - Window,0,0,0
