Video report
"December 8, 2025 - January 6, 2026"
Video,Video URL,Duration,Channel Name,Channel Linked Status,Number of video enhancements,Impr.,TrueView views,Currency code,TrueView avg. CPV,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Clicks,CTR,Engagements,Engagement rate,Avg. CPC,Avg. CPM,YouTube public views,TrueView view rate (In-stream),TrueView view rate (In-feed),TrueView view rate (Shorts),Watch time,Avg. watch time / impr.,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Impr. (co-viewed),Conversions,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost,Conv. value / click,Value / conv.,All conv.,Cost / all conv.,All conv. rate,All conv. value,All conv. value / cost,All conv. value / click,Value / all conv.,Earned likes,Earned playlist additions,Earned shares,Earned subscribers,Earned views,Avg. impr. freq. / user,Unique users,Avg. impr. freq. / user (7 days),Avg. impr. freq. / user (30 days),1+,2+,3+,4+,5+,10+
WRIGHTS IMPACT WINDOW & DOOR,https://www.youtube.com/watch?v=02d9h9aQtKY,2:31,Wrights Impact Window & Door,Linked, --,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
Wrights impact Window and Door: Benefits Promotion (square),https://www.youtube.com/watch?v=x1Fkp9JCqSo,0:22,Wrights Impact Window & Door,Linked, --,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
Wrights impact Window and Door: Benefits Promotion (portrait),https://www.youtube.com/watch?v=oYaXDtIBBJ8,0:24,Wrights Impact Window & Door,Linked, --,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
Wrights Impact Window & Door - As seen on TV,https://www.youtube.com/watch?v=vQDQ5L0fXnA,0:30,Wrights Impact Window & Door,Linked, --,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
Wrights Impact Window & Door - As seen on TV,https://www.youtube.com/watch?v=vQDQ5L0fXnA,0:30,Wrights Impact Window & Door,Linked, --,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
wrights logo 6s movie,https://www.youtube.com/watch?v=W2_M6Cdeda0,0:05,Wrights Impact Window & Door,Linked, --,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
Coupon cutouts video,https://www.youtube.com/watch?v=rl6LYJHlqMQ,0:15,Video ad upload channel for 550-063-6378,Not Linked, --,26,0,USD,0,0.11,0.00,0,0.00,1,3.85%,1,3.85%,0.11,4.27,0, --,0.00%, --, --, --, --, --, --, --,26,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,2.00,0.06,200.00%,2.00,17.99,2.00,1.00,0,0,0,0,0,,,,,,,,,,
711 2T W H_shutters_ vertical 2.0.mp4,https://www.youtube.com/watch?v=bO-k5E705nw,0:22,Wrights Impact Window & Door,Linked,2,19,9,USD,0.018,0.16,0.00,0,0.00,0,0.00%,10,52.63%,0,8.57,19,75.00%, --,0.00%, --, --,63.16%,52.63%,47.37%,47.37%,19,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.05,3.58,0.45%,0.05,0.28,0.00,1.00,0,0,0,0,0,4.7,924,,,924,600,447,364,285,139
711 2T W H_noise_vertical 1.0-_1.mp4,https://www.youtube.com/watch?v=6BGjjzq6YQo,0:20,Wrights Impact Window & Door,Linked, --,13,1,USD,0.059,0.06,0.00,0,0.00,0,0.00%,2,15.38%,0,4.56,14,100.00%, --,0.00%, --, --,15.38%,7.69%,7.69%,7.69%,13,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0,0,0,0,0,5.1,989,,,989,633,461,381,320,168
711 2T W H_energy_vertical 1.0.mp4,https://www.youtube.com/watch?v=3cgPTDAXafU,0:18,Wrights Impact Window & Door,Linked,1,18,7,USD,0.021,0.15,0.00,0,0.00,0,0.00%,8,44.44%,0,8.19,18,63.64%, --,0.00%, --, --,61.11%,50.00%,44.44%,38.89%,18,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0,0,0,0,0,4,755,,,755,436,309,226,181,
Wright's Impact Window & Door | The Wright Way,https://www.youtube.com/watch?v=vzfA4vbQGU8,0:30,Wrights Impact Window & Door,Linked,2,84,13,USD,0.105,1.37,0.00,0,0.00,1,1.19%,16,19.05%,1.37,16.32,22,57.14%,1.59%, --, --, --,76.19%,61.90%,61.90%,57.14%,84,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,2.00,0.69,12.50%,2.00,1.46,0.13,1.00,0,0,0,0,0,4.4,791,,,791,468,335,263,217,105
Wright's Impact Window & Door | The Wright Way,https://www.youtube.com/watch?v=vzfA4vbQGU8,0:30,Wrights Impact Window & Door,Linked,2,84,13,USD,0.105,1.37,0.00,0,0.00,1,1.19%,16,19.05%,1.37,16.32,22,57.14%,1.59%, --, --, --,76.19%,61.90%,61.90%,57.14%,84,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,2.00,0.69,12.50%,2.00,1.46,0.13,1.00,0,0,0,0,0,4.4,791,,,791,468,335,263,217,105
Wrights impact Window and Door: Benefits Promotion,https://www.youtube.com/watch?v=HMTXoyAPnUw,0:25,Wrights Impact Window & Door,Linked, --,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
Total: All videos,,,,,,244,43,USD,0.075,3.22,0.00,0,0.00,3,1.23%,53,21.72%,1.07,13.21,95,62.12%,1.32%,0.00%, --, --,61.96%,50.00%,47.83%,44.57%,244,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,6.05,0.53,11.41%,6.05,1.88,0.11,1.00,0,0,0,0,0,9.6,"2,015",,,"2,015","1,634","1,170","1,057",864,542
Total: Available videos,,,,,,244,43,USD,0.075,3.22,0.00,0,0.00,3,1.23%,53,21.72%,1.07,13.21,95,62.12%,1.32%,0.00%, --, --,61.96%,50.00%,47.83%,44.57%,244,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,6.05,0.53,11.41%,6.05,1.88,0.11,1.00,0,0,0,0,0,9.6,"2,015",,,"2,015","1,634","1,170","1,057",864,542
Total: Deleted videos,,,,,,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
Total: Private videos,,,,,,0,0,USD,0,0.00,0.00,0,0,0, --,0, --,0,0,0, --, --, --, --, --, --, --, --, --,0,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,
Total: Account,,,,,,"317,432","1,955",USD,0.403,18290.02,14.00,1306.43,0.31,"6,992",2.20%,"5,794",35.16%,2.62,57.62,73,14.81%,0.45%,0.00%,"138,427",10.7,77.16%,29.95%,18.42%,12.51%,"317,432",82.00,223.06,0.66%,"25,320.71",1.38,2.03,308.80,"8,399.72",2.18,67.18%,"33,766.93",1.85,2.70,4.02,0,0,0,0,0,2.3,"71,697",,,"71,697","26,770","14,880","9,730","6,827","1,733"
